,Unnamed: 0,rest company,rest company industry
1150,1150,1975,建設業
1151,1151,8121,8121
1152,1152,1978,機械
1153,1153,8122,8122
1154,1154,8124,8124
1155,1155,4029,4029
1156,1156,8128,8128
1157,1157,1987,1987
1158,1158,1988,1988
1159,1159,1989,1989
1160,1160,8134,小売業
1161,1161,1993,1993
1162,1162,1996,1996
1163,1163,1999,1999
1164,1164,4050,4050
1165,1165,8146,8146
1166,1166,8149,8149
1167,1167,6102,6102
1168,1168,2006,2006
1169,1169,2007,2007
1170,1170,6105,6105
1171,1171,6106,6106
1172,1172,6107,6107
1173,1173,6108,6108
1174,1174,8156,8156
1175,1175,4065,4065
1176,1176,6114,6114
1177,1177,6115,6115
1178,1178,8162,8162
1179,1179,8161,8161
1180,1180,8164,8164
1181,1181,6119,6119
1182,1182,6122,6122
1183,1183,8170,8170
1184,1184,8172,8172
1185,1185,4077,4077
1186,1186,6126,6126
1187,1187,8175,8175
1188,1188,8176,8176
1189,1189,8177,8177
1190,1190,6130,6130
1191,1191,8178,8178
1192,1192,8180,8180
1193,1193,4086,4086
1194,1194,4087,4087
1195,1195,4089,4089
1196,1196,4090,4090
1197,1197,6139,6139
1198,1198,8188,8188
1199,1199,8189,8189
